State,District,Mandal,OfficeType,Pincode,Latitude,Longitude
AndhraPradesh,Prakasam,Panduvanagulavaram,Bo,523224.0,15.391418,79.233519
AndhraPradesh,Bapatla,Nagulapadu,Bo,523201.0,15.791546,80.002527
AndhraPradesh,Bapatla,Bommnampadu,Bo,523201.0,15.840015,80.010172
AndhraPradesh,Bapatla,Kasyapuram,Bo,523201.0,15.806192,80.023799
AndhraPradesh,Bapatla,Mailavaram,Bo,523201.0,15.915813,79.897676
AndhraPradesh,Prakasam,Kanuparthi,Bo,523180.0,15.588224,80.214443
AndhraPradesh,Prakasam,Raparala,Bo,523180.0,15.629438,80.161314
AndhraPradesh,Prakasam,Manchikalapadu,Bo,523226.0,15.597222,79.900088
AndhraPradesh,Prakasam,Devarampadu,Bo,523182.0,15.551725,80.183802
AndhraPradesh,Bapatla,Muktheswaram,Bo,523303.0,15.993252,79.987164
AndhraPradesh,Bapatla,S.L.Gudipadu,Bo,523303.0,16.880868,80.963402
AndhraPradesh,Prakasam,Alluru,Bo,523286.0,15.502463,80.129814
AndhraPradesh,Prakasam,Koppole,Bo,523286.0,15.487159,80.084538
AndhraPradesh,Prakasam,Motumala,Bo,523286.0,15.489445,80.190303
AndhraPradesh,Bapatla,Daivalaravuru,Bo,523212.0,15.709405,80.055588
AndhraPradesh,Prakasam,Nelaturu,Bo,523211.0,15.620299,79.974804
Telangana,Mulugu,Beeravelli,Bo,506344.0,18.1014229,80.4322515
Telangana,Siddipet,Kondapur,Bo,506367.0,17.9920223,79.1334858
AndhraPradesh,Prakasam,Vellampalli,Bo,523211.0,15.637809,80.01493
AndhraPradesh,Bapatla,Konidena,Bo,523301.0,16.014703,80.058231
AndhraPradesh,Bapatla,Degaramudi,Bo,523301.0,16.002765,80.124015
AndhraPradesh,Bapatla,Vinjanampadu,Bo,523301.0,16.032122,80.193783
,,Reningavaram,Bo,523261.0,15.808005,80.03952
AndhraPradesh,Prakasam,Kandlagunta,Bo,523183.0,15.690383,80.1117283
AndhraPradesh,Bapatla,Paidipadu,Bo,523213.0,15.316413,79.851382
AndhraPradesh,Bapatla,Vellalacheruvu,Bo,523302.0,16.137433,79.882883
AndhraPradesh,Prakasam,B.Machavaram,Bo,523225.0,15.480524,79.901367
AndhraPradesh,Prakasam,Mangamuru,Bo,523225.0,15.499579,79.968967
AndhraPradesh,Prakasam,Chekurapadu,Bo,523262.0,15.578951,80.078444
AndhraPradesh,Prakasam,Yedugundlapadu,Bo,523262.0,15.563751,80.051708
AndhraPradesh,Bapatla,Pedaganjam,Bo,523186.0,15.641366,80.230751
AndhraPradesh,Bapatla,Pedjangalapalli,Bo,523260.0,15.966121,80.024532
AndhraPradesh,Bapatla,Dharmavaram,Bo,523260.0,15.906091,80.003343
AndhraPradesh,WestGodavari,Duddukuru,Bo,534313.0,17.0410693,81.5913328
AndhraPradesh,Eluru,Kunkala,Bo,534318.0,17.2684337,81.5237314
AndhraPradesh,WestGodavari,GangoleB.O,Bo,534318.0,17.2116,81.5473
AndhraPradesh,WestGodavari,Yadavole,Bo,534316.0,17.0614794,81.4672762
AndhraPradesh,WestGodavari,Komatikunta,Bo,534316.0,17.0988122,81.5419871
AndhraPradesh,WestGodavari,Pendyala,Bo,534329.0,16.8620661,81.743283
AndhraPradesh,WestGodavari,Daravaram,Bo,534301.0,16.9298813,81.6807667
AndhraPradesh,WestGodavari,Bangarampeta,Bo,534315.0,17.1967199,81.641018
AndhraPradesh,WestGodavari,Paidipaka,Bo,534315.0,17.27885,81.61826
AndhraPradesh,WestGodavari,Gopavaram,Bo,534302.0,16.8933179,81.702742
AndhraPradesh,WestGodavari,Katakoteswaram,Bo,534305.0,16.9301785,81.6342944
AndhraPradesh,WestGodavari,Gajjaram,Bo,534341.0,17.1332854,81.6389644
AndhraPradesh,WestGodavari,Tadipudi,Bo,534341.0,17.16445,81.6535556
AndhraPradesh,WestGodavari,Malakapalli,Bo,534340.0,17.0640872,81.659392
